index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic
92,10824,0,10824.0,8266,0,8266.0,0.7636733185513673,0,1
93,10941,0,10941.0,8358,0,8358.0,0.763915547024952,0,1
94,11059,0,11059.0,8452,0,8452.0,0.7642644000361697,0,1
95,11176,0,11176.0,8545,0,8545.0,0.7645848246241947,0,1
96,11294,0,11294.0,8638,0,8638.0,0.764830883655038,0,1
97,11412,0,11412.0,8732,0,8732.0,0.7651594812478093,0,1
98,11529,0,11529.0,8825,0,8825.0,0.7654610113626507,0,1
99,11647,0,11647.0,8919,0,8919.0,0.765776594831287,0,1
100,11765,0,11765.0,9013,0,9013.0,0.7660858478538036,0,1
101,11882,0,11882.0,9107,0,9107.0,0.766453459013634,0,1
102,12000,0,12000.0,9201,0,9201.0,0.76675,0,1
103,12118,0,12118.0,9296,0,9296.0,0.7671232876712328,0,1
104,12235,0,12235.0,9389,0,9389.0,0.7673886391499796,0,1
105,12353,0,12353.0,9484,0,9484.0,0.7677487250060714,0,1
106,12471,0,12471.0,9579,0,9579.0,0.7681019966321867,0,1
107,12588,0,12588.0,9673,0,9673.0,0.7684302510327295,0,1
108,12706,0,12706.0,9768,0,9768.0,0.7687706595309303,0,1
109,12824,0,12824.0,9864,0,9864.0,0.769182782283219,0,1
110,12941,0,12941.0,9958,0,9958.0,0.7694923112587899,0,1
111,13059,0,13059.0,10054,0,10054.0,0.7698904969752661,0,1
112,13176,0,13176.0,10148,0,10148.0,0.7701882210078932,0,1
113,13294,0,13294.0,10244,0,10244.0,0.7705731909131939,0,1
114,13412,0,13412.0,10340,0,10340.0,0.7709513868177751,0,1
115,13529,0,13529.0,10435,0,10435.0,0.77130608322862,0,1
116,13647,0,13647.0,10531,0,10531.0,0.7716714296182311,0,1
117,13765,0,13765.0,10627,0,10627.0,0.7720305121685435,0,1
118,13882,0,13882.0,10723,0,10723.0,0.7724391298083849,0,1
119,14000,0,14000.0,10819,0,10819.0,0.7727857142857143,0,1
120,14118,0,14118.0,10916,0,10916.0,0.7731973367332483,0,1
121,14235,0,14235.0,11012,0,11012.0,0.7735862311204776,0,1
122,14353,0,14353.0,11109,0,11109.0,0.7739845328502752,0,1
123,14471,0,14471.0,11206,0,11206.0,0.7743763388846658,0,1
124,14588,0,14588.0,11302,0,11302.0,0.7747463668768851,0,1
125,14706,0,14706.0,11400,0,11400.0,0.7751937984496124,0,1
126,14824,0,14824.0,11497,0,11497.0,0.7755666486778198,0,1
127,14941,0,14941.0,11594,0,11594.0,0.7759855431363363,0,1
128,15059,0,15059.0,11692,0,11692.0,0.7764127764127764,0,1
129,15176,0,15176.0,11789,0,11789.0,0.7768186610437533,0,1
130,15294,0,15294.0,11887,0,11887.0,0.7772329017915522,0,1
131,15412,0,15412.0,11985,0,11985.0,0.7776407993771087,0,1
132,15529,0,15529.0,12083,0,12083.0,0.7780926009401764,0,1
133,15647,0,15647.0,12181,0,12181.0,0.7784878890522144,0,1
134,15765,0,15765.0,12280,0,12280.0,0.7789406914050111,0,1
135,15882,0,15882.0,12378,0,12378.0,0.7793728749527767,0,1
136,16000,0,16000.0,12477,0,12477.0,0.7798125,0,1
137,16118,0,16118.0,12576,0,12576.0,0.7802456880506267,0,1
138,16235,0,16235.0,12674,0,12674.0,0.7806590699106868,0,1
139,16353,0,16353.0,12774,0,12774.0,0.7811410750321042,0,1
140,16471,0,16471.0,12873,0,12873.0,0.7815554611134722,0,1
141,16588,0,16588.0,12972,0,12972.0,0.7820110923559199,0,1
142,16706,0,16706.0,13072,0,13072.0,0.7824733628636418,0,1
143,16824,0,16824.0,13172,0,13172.0,0.7829291488349976,0,1
144,16941,0,16941.0,13272,0,13272.0,0.7834248273419515,0,1
145,17059,0,17059.0,13372,0,13372.0,0.7838677530922094,0,1
146,17176,0,17176.0,13472,0,13472.0,0.784350256171402,0,1
147,17294,0,17294.0,13573,0,13573.0,0.7848386723719208,0,1
148,17412,0,17412.0,13674,0,13674.0,0.7853204686423156,0,1
149,17529,0,17529.0,13774,0,13774.0,0.785783558674197,0,1
150,17647,0,17647.0,13875,0,13875.0,0.7862526208420695,0,1
151,17765,0,17765.0,13976,0,13976.0,0.7867154517309316,0,1
152,17882,0,17882.0,14077,0,14077.0,0.7872161950564813,0,1
153,18000,0,18000.0,14179,0,14179.0,0.7877222222222222,0,1
154,18118,0,18118.0,14281,0,14281.0,0.7882216580196489,0,1
155,18235,0,18235.0,14382,0,14382.0,0.7887030435974773,0,1
156,18353,0,18353.0,14484,0,14484.0,0.7891897782378903,0,1
157,18471,0,18471.0,14587,0,14587.0,0.7897244328948081,0,1
158,18588,0,18588.0,14689,0,14689.0,0.7902410157090596,0,1
159,18706,0,18706.0,14791,0,14791.0,0.7907088634662675,0,1
160,18824,0,18824.0,14895,0,14895.0,0.7912770930726731,0,1
161,18941,0,18941.0,14997,0,14997.0,0.7917744575260018,0,1
162,19059,0,19059.0,15100,0,15100.0,0.7922766147227032,0,1
163,19176,0,19176.0,15203,0,15203.0,0.792813934084272,0,1
164,19294,0,19294.0,15307,0,15307.0,0.7933554472893127,0,1
165,19412,0,19412.0,15411,0,15411.0,0.7938903770863384,0,1
166,19529,0,19529.0,15514,0,15514.0,0.7944083158379845,0,1
167,19647,0,19647.0,15618,0,15618.0,0.794930523744083,0,1
168,19765,0,19765.0,15723,0,15723.0,0.795497090817101,0,1
169,19882,0,19882.0,15826,0,15826.0,0.7959963786339402,0,1
170,20000,0,20000.0,15931,0,15931.0,0.79655,0,1
171,20118,0,20118.0,16036,0,16036.0,0.7970971269509891,0,1
172,20235,0,20235.0,16141,0,16141.0,0.797677291821102,0,1
173,20353,0,20353.0,16246,0,16246.0,0.7982115658625264,0,1
174,20471,0,20471.0,16352,0,16352.0,0.7987885301157736,0,1
175,20588,0,20588.0,16457,0,16457.0,0.7993491354186905,0,1
176,20706,0,20706.0,16563,0,16563.0,0.7999130686757462,0,1
177,20824,0,20824.0,16669,0,16669.0,0.8004706108336535,0,1
178,20941,0,20941.0,16775,0,16775.0,0.801060121293157,0,1
179,21059,0,21059.0,16881,0,16881.0,0.8016050144831188,0,1
180,21176,0,21176.0,16987,0,16987.0,0.8021817151492255,0,1
181,21294,0,21294.0,17095,0,17095.0,0.8028083028083028,0,1
182,21412,0,21412.0,17202,0,17202.0,0.8033812815243788,0,1
183,21529,0,21529.0,17308,0,17308.0,0.8039388731478471,0,1
184,21647,0,21647.0,17416,0,17416.0,0.8045456645262623,0,1
185,21765,0,21765.0,17524,0,17524.0,0.8051458764070756,0,1
186,21882,0,21882.0,17631,0,17631.0,0.8057307375925418,0,1
187,22000,0,22000.0,17740,0,17740.0,0.8063636363636364,0,1
188,22118,0,22118.0,17848,0,17848.0,0.8069445700334569,0,1
189,22235,0,22235.0,17956,0,17956.0,0.8075556554980886,0,1
190,22353,0,22353.0,18065,0,18065.0,0.8081689258712477,0,1
191,22471,0,22471.0,18174,0,18174.0,0.8087757554180944,0,1
192,22588,0,22588.0,18283,0,18283.0,0.8094120772091375,0,1
193,22706,0,22706.0,18392,0,18392.0,0.8100061657711618,0,1
194,22824,0,22824.0,18502,0,18502.0,0.8106379249912373,0,1
195,22941,0,22941.0,18611,0,18611.0,0.8112549583714747,0,1
196,23059,0,23059.0,18722,0,18722.0,0.8119172557352877,0,1
197,23176,0,23176.0,18831,0,18831.0,0.8125215740421126,0,1
198,23294,0,23294.0,18942,0,18942.0,0.8131707735897656,0,1
199,23412,0,23412.0,19053,0,19053.0,0.8138134290107637,0,1
200,23529,0,23529.0,19163,0,19163.0,0.8144417527306728,0,1
201,23647,0,23647.0,19275,0,19275.0,0.8151139679451939,0,1
202,23765,0,23765.0,19386,0,19386.0,0.8157374289922155,0,1
203,23882,0,23882.0,19497,0,19497.0,0.8163889121514111,0,1
204,24000,0,24000.0,19609,0,19609.0,0.8170416666666667,0,1
205,24118,0,24118.0,19722,0,19722.0,0.8177294966415125,0,1
206,24235,0,24235.0,19833,0,19833.0,0.8183618733237054,0,1
207,24353,0,24353.0,19946,0,19946.0,0.8190366689935532,0,1
208,24471,0,24471.0,20059,0,20059.0,0.8197049568877447,0,1
209,24588,0,24588.0,20172,0,20172.0,0.8204001952171791,0,1
210,24706,0,24706.0,20285,0,20285.0,0.8210556140208856,0,1
211,24824,0,24824.0,20399,0,20399.0,0.8217450854012246,0,1
212,24941,0,24941.0,20512,0,20512.0,0.822420913355519,0,1
213,25059,0,25059.0,20626,0,20626.0,0.8230974899237798,0,1
214,25176,0,25176.0,20740,0,20740.0,0.8238004448681284,0,1
215,25294,0,25294.0,20854,0,20854.0,0.8244642998339528,0,1
216,25412,0,25412.0,20969,0,20969.0,0.8251613410986935,0,1
217,25529,0,25529.0,21084,0,21084.0,0.8258842884562654,0,1
218,25647,0,25647.0,21199,0,21199.0,0.8265684095605724,0,1
219,25765,0,25765.0,21315,0,21315.0,0.8272850766543761,0,1
220,25882,0,25882.0,21430,0,21430.0,0.827988563480411,0,1
221,26000,0,26000.0,21546,0,21546.0,0.8286923076923077,0,1
222,26118,0,26118.0,21663,0,21663.0,0.8294279807029634,0,1
223,26235,0,26235.0,21778,0,21778.0,0.8301124452067848,0,1
224,26353,0,26353.0,21895,0,21895.0,0.8308351990285736,0,1
225,26471,0,26471.0,22013,0,22013.0,0.8315892863888784,0,1
226,26588,0,26588.0,22129,0,22129.0,0.8322927636527757,0,1
227,26706,0,26706.0,22247,0,22247.0,0.8330337751816072,0,1
228,26824,0,26824.0,22365,0,22365.0,0.833768267223382,0,1
229,26941,0,26941.0,22482,0,22482.0,0.8344901822501021,0,1
230,27059,0,27059.0,22601,0,22601.0,0.8352489005506486,0,1
231,27176,0,27176.0,22719,0,22719.0,0.8359949955843391,0,1
232,27294,0,27294.0,22838,0,22838.0,0.8367406756063603,0,1
233,27412,0,27412.0,22957,0,22957.0,0.8374799357945425,0,1
234,27529,0,27529.0,23075,0,23075.0,0.8382069817283592,0,1
235,27647,0,27647.0,23195,0,23195.0,0.8389698701486599,0,1
236,27765,0,27765.0,23315,0,23315.0,0.8397262740860796,0,1
237,27882,0,27882.0,23435,0,23435.0,0.8405064199124883,0,1
238,28000,0,28000.0,23556,0,23556.0,0.8412857142857143,0,1
239,28118,0,28118.0,23676,0,23676.0,0.842022903478199,0,1
240,28235,0,28235.0,23797,0,23797.0,0.842819196033292,0,1
241,28353,0,28353.0,23918,0,23918.0,0.8435791626988326,0,1
242,28471,0,28471.0,24040,0,24040.0,0.8443679533560465,0,1
243,28588,0,28588.0,24161,0,24161.0,0.8451448160067161,0,1
244,28706,0,28706.0,24283,0,24283.0,0.845920713439699,0,1
245,28824,0,28824.0,24406,0,24406.0,0.8467249514293644,0,1
246,28941,0,28941.0,24528,0,24528.0,0.8475173629107494,0,1
247,29059,0,29059.0,24651,0,24651.0,0.8483086135104443,0,1
248,29176,0,29176.0,24773,0,24773.0,0.849088291746641,0,1
249,29294,0,29294.0,24897,0,24897.0,0.8499010036184884,0,1
250,29412,0,29412.0,25021,0,25021.0,0.8507071943424452,0,1
251,29529,0,29529.0,25144,0,25144.0,0.8515019133732941,0,1
252,29647,0,29647.0,25269,0,25269.0,0.8523290720814922,0,1
253,29765,0,29765.0,25394,0,25394.0,0.8531496724340668,0,1
254,29882,0,29882.0,25518,0,25518.0,0.8539589050264373,0,1
255,30000,0,30000.0,25643,0,25643.0,0.8547666666666667,0,1
