index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic
81,9529,0,9529.0,4335,0,4335.0,0.4549270647497114,0,1
82,9647,0,9647.0,4402,0,4402.0,0.4563076604125635,0,1
83,9765,0,9765.0,4470,0,4470.0,0.4577572964669739,0,1
84,9882,0,9882.0,4537,0,4537.0,0.45911758753288806,0,1
85,10000,0,10000.0,4605,0,4605.0,0.4605,0,1
86,10118,0,10118.0,4674,0,4674.0,0.4619490017790077,0,1
87,10235,0,10235.0,4743,0,4743.0,0.46340986809965806,0,1
88,10353,0,10353.0,4813,0,4813.0,0.4648894040374771,0,1
89,10471,0,10471.0,4883,0,4883.0,0.4663355935440741,0,1
90,10588,0,10588.0,4954,0,4954.0,0.46788817529278426,0,1
91,10706,0,10706.0,5025,0,5025.0,0.4693629740332524,0,1
92,10824,0,10824.0,5097,0,5097.0,0.4708980044345898,0,1
93,10941,0,10941.0,5169,0,5169.0,0.472443103921031,0,1
94,11059,0,11059.0,5242,0,5242.0,0.4740030744190252,0,1
95,11176,0,11176.0,5315,0,5315.0,0.4755726556907659,0,1
96,11294,0,11294.0,5390,0,5390.0,0.4772445546307774,0,1
97,11412,0,11412.0,5464,0,5464.0,0.47879425166491413,0,1
98,11529,0,11529.0,5539,0,5539.0,0.4804406279816116,0,1
99,11647,0,11647.0,5615,0,5615.0,0.48209839443633556,0,1
100,11765,0,11765.0,5692,0,5692.0,0.48380790480237995,0,1
101,11882,0,11882.0,5768,0,5768.0,0.4854401615889581,0,1
102,12000,0,12000.0,5846,0,5846.0,0.4871666666666667,0,1
103,12118,0,12118.0,5924,0,5924.0,0.4888595477801617,0,1
104,12235,0,12235.0,6003,0,6003.0,0.4906416019615856,0,1
105,12353,0,12353.0,6082,0,6082.0,0.492350036428398,0,1
106,12471,0,12471.0,6162,0,6162.0,0.4941063266778927,0,1
107,12588,0,12588.0,6243,0,6243.0,0.4959485224022879,0,1
108,12706,0,12706.0,6324,0,6324.0,0.4977176137257988,0,1
109,12824,0,12824.0,6406,0,6406.0,0.4995321272613849,0,1
110,12941,0,12941.0,6488,0,6488.0,0.5013522911676068,0,1
111,13059,0,13059.0,6572,0,6572.0,0.5032544605253082,0,1
112,13176,0,13176.0,6655,0,6655.0,0.5050850030358227,0,1
113,13294,0,13294.0,6740,0,6740.0,0.5069956371295321,0,1
114,13412,0,13412.0,6825,0,6825.0,0.5088726513569938,0,1
115,13529,0,13529.0,6911,0,6911.0,0.5108285904353611,0,1
116,13647,0,13647.0,6997,0,6997.0,0.5127134168681762,0,1
117,13765,0,13765.0,7085,0,7085.0,0.5147112241191427,0,1
118,13882,0,13882.0,7172,0,7172.0,0.5166402535657686,0,1
119,14000,0,14000.0,7261,0,7261.0,0.5186428571428572,0,1
120,14118,0,14118.0,7351,0,7351.0,0.5206828162629268,0,1
