index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic,readback_stable
77,9059,0,9059.0,3202,0,3202.0,0.3534606468705155,0,1,1
78,9176,0,9176.0,3256,0,3256.0,0.3548387096774194,0,1,1
79,9294,0,9294.0,3311,0,3311.0,0.3562513449537336,0,1,1
80,9412,0,9412.0,3367,0,3367.0,0.35773480662983426,0,1,1
81,9529,0,9529.0,3423,0,3423.0,0.35921922552209046,0,1,1
82,9647,0,9647.0,3479,0,3479.0,0.3606302477454131,0,1,1
83,9765,0,9765.0,3536,0,3536.0,0.36210957501280083,0,1,1
84,9882,0,9882.0,3594,0,3594.0,0.3636915604128719,0,1,1
85,10000,0,10000.0,3652,0,3652.0,0.3652,0,1,1
86,10118,0,10118.0,3711,0,3711.0,0.3667720893457205,0,1,1
87,10235,0,10235.0,3769,0,3769.0,0.36824621397166585,0,1,1
88,10353,0,10353.0,3829,0,3829.0,0.3698444895199459,0,1,1
89,10471,0,10471.0,3890,0,3890.0,0.3715022442937637,0,1,1
90,10588,0,10588.0,3950,0,3950.0,0.37306384586324143,0,1,1
91,10706,0,10706.0,4012,0,4012.0,0.3747431346908276,0,1,1
92,10824,0,10824.0,4074,0,4074.0,0.3763858093126386,0,1,1
93,10941,0,10941.0,4136,0,4136.0,0.3780276025957408,0,1,1
94,11059,0,11059.0,4199,0,4199.0,0.3796907496156976,0,1,1
95,11176,0,11176.0,4263,0,4263.0,0.3814423765211167,0,1,1
96,11294,0,11294.0,4327,0,4327.0,0.38312378253940144,0,1,1
97,11412,0,11412.0,4392,0,4392.0,0.38485804416403785,0,1,1
98,11529,0,11529.0,4458,0,4458.0,0.3866770752016654,0,1,1
99,11647,0,11647.0,4524,0,4524.0,0.38842620417274837,0,1,1
100,11765,0,11765.0,4591,0,4591.0,0.3902252443688908,0,1,1
101,11882,0,11882.0,4658,0,4658.0,0.39202154519441174,0,1,1
102,12000,0,12000.0,4726,0,4726.0,0.3938333333333333,0,1,1
103,12118,0,12118.0,4795,0,4795.0,0.3956923584749959,0,1,1
104,12235,0,12235.0,4864,0,4864.0,0.3975480179812015,0,1,1
105,12353,0,12353.0,4935,0,4935.0,0.3994980976281065,0,1,1
106,12471,0,12471.0,5006,0,5006.0,0.401411274156042,0,1,1
107,12588,0,12588.0,5077,0,5077.0,0.4033206228153797,0,1,1
