profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,49,5859,0,5859.0,2344,19,2344.077003854609,0.46441807570535465
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,50,5977,0,5977.0,2391,20,2391.0836455465123,0.47925088477263106
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,51,6094,0,6094.0,2438,21,2438.0904413085254,0.49351173663386655
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,52,6211,0,6211.0,2484,22,2484.097421600047,0.5074372755354366
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,53,6328,0,6328.0,2531,24,2531.113786458444,0.5432862488990956
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,54,6445,0,6445.0,2578,25,2578.121215148737,0.5556049609796104
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,55,6562,0,6562.0,2625,26,2625.1287587468923,0.5674824972176381
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,56,6680,0,6680.0,2672,28,2672.146702559573,0.6003828997012309
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,57,6797,0,6797.0,2719,29,2719.154648047808,0.6110756178366744
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,58,6914,0,6914.0,2766,31,2766.1737111034804,0.642116703974599
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,59,7031,0,7031.0,2812,32,2812.1820709193066,0.6519864175243545
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,60,7148,0,7148.0,2859,34,2859.2021614429436,0.6813447624697487
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,61,7266,0,7266.0,2906,36,2906.222978369003,0.7097531164301221
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,62,7383,0,7383.0,2953,37,2953.2317890744707,0.7178574042009419
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,63,7500,0,7500.0,3000,39,3000.25348929053,0.7448031783150643
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,64,7617,0,7617.0,3047,41,3047.2758326085286,0.7709173605841045
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,65,7734,0,7734.0,3094,43,3094.2987897098756,0.7962378521186722
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,66,7852,0,7852.0,3141,45,3141.3223330311075,0.8208002858949207
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,67,7969,0,7969.0,3188,47,3188.3464366345133,0.844638193876805
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,68,8086,0,8086.0,3234,49,3234.371190819013,0.8680514497455426
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,69,8203,0,8203.0,3281,51,3281.396349117247,0.8905362533605713
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,70,8320,0,8320.0,3328,54,3328.4380721293282,0.9295975383760532
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,71,8438,0,8438.0,3375,56,3375.4645606197673,0.9505982954255112
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,72,8555,0,8555.0,3422,58,3422.4914901282077,0.9710219310791666
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,73,8672,0,8672.0,3469,61,3469.536280254178,1.0074033972673602
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,74,8789,0,8789.0,3516,63,3516.5643744996337,1.0265210134247966
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,75,8906,0,8906.0,3562,66,3562.611401766968,1.0615072371528222
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,76,9023,0,9023.0,3609,68,3609.640563823495,1.0794270014846965
