profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
A,Linear,0x3333,0x0000,0x0000,0x0000,61,7266,0,7266.0,2906,0,2906.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,62,7383,0,7383.0,2953,0,2953.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,63,7500,0,7500.0,3000,0,3000.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,64,7617,0,7617.0,3047,0,3047.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,65,7734,0,7734.0,3094,0,3094.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,66,7852,0,7852.0,3141,0,3141.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,67,7969,0,7969.0,3188,0,3188.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,68,8086,0,8086.0,3234,0,3234.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,69,8203,0,8203.0,3281,0,3281.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,70,8320,0,8320.0,3328,0,3328.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,71,8438,0,8438.0,3375,0,3375.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,72,8555,0,8555.0,3422,0,3422.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,73,8672,0,8672.0,3469,0,3469.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,74,8789,0,8789.0,3516,0,3516.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,75,8906,0,8906.0,3562,0,3562.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,76,9023,0,9023.0,3609,0,3609.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,77,9141,0,9141.0,3656,0,3656.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,78,9258,0,9258.0,3703,0,3703.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,79,9375,0,9375.0,3750,0,3750.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,80,9492,0,9492.0,3797,0,3797.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,81,9609,0,9609.0,3844,0,3844.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,82,9727,0,9727.0,3891,0,3891.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,83,9844,0,9844.0,3938,0,3938.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,84,9961,0,9961.0,3984,0,3984.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,85,10078,0,10078.0,4031,0,4031.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,86,10195,0,10195.0,4078,0,4078.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,87,10312,0,10312.0,4125,0,4125.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,88,10430,0,10430.0,4172,0,4172.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,89,10547,0,10547.0,4219,0,4219.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,90,10664,0,10664.0,4266,0,4266.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,91,10781,0,10781.0,4312,0,4312.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,92,10898,0,10898.0,4359,0,4359.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,93,11016,0,11016.0,4406,0,4406.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,94,11133,0,11133.0,4453,0,4453.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,95,11250,0,11250.0,4500,0,4500.0,0.0
