index,requested_amplitude,requested_phase_deg,input_i,input_q,input_magnitude,input_phase_deg,output_i,output_q,output_magnitude,output_phase_deg,phase_shift_deg,gain
173,19250,-135,-13612,-13612,19250.27501102257,-135.0,-2723,-8168,8609.933391147692,-108.43705319650293,26.56294680349707,0.44726287734682774
174,19250,-90,0,-19250,19250.0,-90.0,3850,-7701,8609.756152179922,-63.437924917845216,26.562075082154784,0.4472600598535024
175,19250,-45,13612,-13612,19250.27501102257,-45.0,8167,-2723,8608.984725273938,-18.43915803386897,26.56084196613103,0.447213596706774
176,20125,0,20125,0,20125.0,0.0,8050,4025,9000.173609436653,26.56505117707799,26.56505117707799,0.4472135954999579
177,20125,45,14231,14231,20125.673206131516,45.0,2846,8539,9000.790909692325,71.5670641686632,26.567064168663194,0.4472293084312892
178,20125,90,0,20125,20125.0,90.0,-4026,8050,9000.620867473532,116.57074488465273,26.570744884652726,0.4472358195017904
179,20125,135,-14231,14231,20125.673206131516,135.0,-8540,2846,9001.739609653236,161.56907673594955,26.56907673594955,0.44727644722516674
180,20125,180,-20125,0,20125.0,180.0,-8051,-4026,9001.515261332393,-153.4321022520026,26.567897747997392,0.4472802614326655
181,20125,-135,-14231,-14231,20125.673206131516,-135.0,-2847,-8540,9002.055820755611,-108.43696153165456,26.56303846834544,0.4472921590524998
182,20125,-90,0,-20125,20125.0,-90.0,4025,-8051,9001.068047737446,-63.43779553527189,26.56220446472811,0.44725803963912775
183,20125,-45,14231,-14231,20125.673206131516,-45.0,8539,-2847,9001.107154122763,-18.43897466464621,26.56102533535379,0.4472450219146196
184,21000,0,21000,0,21000.0,0.0,8400,4200,9391.485505499117,26.56505117707799,26.56505117707799,0.4472135954999579
185,21000,45,14849,14849,20999.657187678087,45.0,2970,8909,9391.015972726274,71.56312183136995,26.563121831369955,0.44719853704262447
186,21000,90,0,21000,21000.0,90.0,-4201,8400,9391.93276168436,116.57050765813507,26.57050765813507,0.44723489341354095
187,21000,135,-14849,14849,20999.657187678087,135.0,-8910,2970,9391.964650700087,161.565051177078,26.565051177078004,0.44724371292170356
188,21000,180,-21000,0,21000.0,180.0,-8401,-4201,9392.827156932039,-153.4322208421826,26.567779157817426,0.4472774836634304
189,21000,-135,-14849,-14849,20999.657187678087,-135.0,-2971,-8910,9392.280926377787,-108.44073608052125,26.559263919478752,0.44725877391412233
190,21000,-90,0,-21000,21000.0,-90.0,4200,-8401,9392.379943337046,-63.43767693355289,26.562323066447107,0.44725618777795456
191,21000,-45,14849,-14849,20999.657187678087,-45.0,8909,-2971,9391.332280352985,-18.44266594584835,26.55733405415165,0.4472135995564495
192,21875,0,21875,0,21875.0,0.0,8750,4375,9782.79740156158,26.56505117707799,26.56505117707799,0.4472135954999579
193,21875,45,15468,15468,21875.055382787035,45.0,3093,9281,9782.822189940896,71.56875532625263,26.568755326252628,0.44721359643453834
194,21875,90,0,21875,21875.0,90.0,-4376,8750,9783.24465604331,116.57028940887115,26.570289408871147,0.44723404141912276
195,21875,135,-15468,15468,21875.055382787035,135.0,-9282,3093,9783.770898789484,161.57060686207106,26.57060686207106,0.44725696587210023
196,21875,180,-21875,0,21875.0,180.0,-8751,-4376,9784.139052568704,-153.43232994644916,26.56767005355084,0.4472749281174265
197,21875,-135,-15468,-15468,21875.055382787035,-135.0,-3094,-9282,9784.087080560965,-108.43494882292202,26.565051177077976,0.447271419859345
198,21875,-90,0,-21875,21875.0,-90.0,4375,-8751,9783.691838973671,-63.43756781910399,26.56243218089601,0.44725448406736784
199,21875,-45,15468,-15468,21875.055382787035,-45.0,9281,-3094,9783.13840237375,-18.43680083764526,26.56319916235474,0.4472280518234423
200,22750,0,22750,0,22750.0,0.0,9100,4550,10174.109297624043,26.56505117707799,26.56505117707799,0.4472135954999579
201,22750,45,16087,16087,22750.45357789598,45.0,3217,9652,10173.995920974217,71.56683204238414,26.566832042384135,0.44719969587152003
202,22750,90,0,22750,22750.0,90.0,-4551,9100,10174.556550533296,116.57008794727408,26.570087947274075,0.44723325496849653
203,22750,135,-16087,16087,22750.45357789598,135.0,-9653,3217,10174.944619013904,161.56861257560107,26.568612575601065,0.44724139605285657
204,22750,180,-22750,0,22750.0,180.0,-9101,-4551,10175.450948238118,-153.4324306591864,26.567569340813634,0.44727256915332386
205,22750,-135,-16087,-16087,22750.45357789598,-135.0,-3218,-9653,10175.260832037673,-108.43672946684453,26.563270533155475,0.44725529524931373
206,22750,-90,0,-22750,22750.0,-90.0,4550,-9101,10175.003734643049,-63.4374670973364,26.562532902663598,0.44725291141288126
207,22750,-45,16087,-16087,22750.45357789598,-45.0,9652,-3218,10174.312163483091,-18.438510442828722,26.561489557171278,0.44721359636399993
208,23625,0,23625,0,23625.0,0.0,9450,4725,10565.421193686507,26.56505117707799,26.56505117707799,0.447213595499958
