index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
0,117,0,117.0,47,0,47.0,0.0
1,234,0,234.0,94,0,94.0,0.0
2,352,0,352.0,141,0,141.0,0.0
3,469,0,469.0,188,0,188.0,0.0
4,586,0,586.0,234,0,234.0,0.0
5,703,0,703.0,281,0,281.0,0.0
6,820,0,820.0,328,0,328.0,0.0
7,938,0,938.0,375,0,375.0,0.0
8,1055,0,1055.0,422,0,422.0,0.0
9,1172,0,1172.0,469,1,469.00106609686935,0.12216565604720667
10,1289,0,1289.0,516,1,516.0009689913383,0.11103819337801372
11,1406,0,1406.0,562,1,562.0008896790112,0.10194967801558666
12,1523,0,1523.0,609,1,609.000821017509,0.0940816552019056
13,1641,0,1641.0,656,1,656.0007621946792,0.0873410596531861
14,1758,0,1758.0,703,2,703.0028449444568,0.16300320038336477
15,1875,0,1875.0,750,2,750.0026666619259,0.1527883832038498
16,1992,0,1992.0,797,3,797.0056461531499,0.21566690934400543
17,2109,0,2109.0,844,3,844.0053317367136,0.2036571263530186
18,2227,0,2227.0,891,4,891.0089786304064,0.25721838205049274
19,2344,0,2344.0,938,4,938.0085287458745,0.24433020131409314
20,2461,0,2461.0,984,5,984.0127031700353,0.2911345853777559
21,2578,0,2578.0,1031,6,1031.0174586300661,0.33343433192006106
22,2695,0,2695.0,1078,6,1078.0166974588103,0.3188971495661537
23,2812,0,2812.0,1125,7,1125.0217775669944,0.35650247178424355
24,2930,0,2930.0,1172,8,1172.0273034362297,0.3910913970570309
25,3047,0,3047.0,1219,9,1219.033223501312,0.42301283536882034
26,3164,0,3164.0,1266,10,1266.0394938547533,0.4525638858464698
27,3281,0,3281.0,1312,12,1312.054876901115,0.5240321514303962
28,3398,0,3398.0,1359,13,1359.0621766497661,0.5480665310847785
29,3516,0,3516.0,1406,14,1406.0696995526218,0.570493886520516
30,3633,0,3633.0,1453,16,1453.0880909291081,0.630898431749144
31,3750,0,3750.0,1500,17,1500.0963302401617,0.6493243680645211
32,3867,0,3867.0,1547,19,1547.1166730405305,0.7036619771371896
33,3984,0,3984.0,1594,21,1594.1383252403161,0.7547940810921904
34,4102,0,4102.0,1641,22,1641.1474644284713,0.7680875314572939
35,4219,0,4219.0,1688,24,1688.170607492027,0.8145770497597191
36,4336,0,4336.0,1734,27,1734.2101948725824,0.8920767247535308
37,4453,0,4453.0,1781,29,1781.2360876649675,0.932863998543509
38,4570,0,4570.0,1828,31,1828.2628366840474,0.971553022905603
39,4688,0,4688.0,1875,34,1875.308241329942,1.0388496144124297
40,4805,0,4805.0,1922,36,1922.3371192379343,1.0730524971144944
41,4922,0,4922.0,1969,39,1969.3861987939288,1.134709626169257
42,5039,0,5039.0,2016,42,2016.437452538511,1.193489423982035
43,5156,0,5156.0,2062,45,2062.4909696772006,1.25019441139904
44,5273,0,5273.0,2109,48,2109.5461597225126,1.3038040290314132
45,5391,0,5391.0,2156,51,2156.6031160137,1.3550741723675839
46,5508,0,5508.0,2203,54,2203.6617254016096,1.4041546330979824
